gnbid,type,timestamp,MM5G_NULL,SM5G_PDU_SESSION_INACTIVE,MM5G_DEREGISTERED,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000321,1,1686749765451402800,0.064256,0.065536,0.671232,20.699136,89.528832,110.86208
0000000226,1,1686749765713974000,0.043008,0.043264,0.322816,20.730112,96.769024,118.052096
0000000508,1,1686749765737996800,0.043264,0.044288,0.694272,20.627456,99.163136,120.320256
0000000603,1,1686749765807586000,0.060416,0.06144,0.607232,26.115072,93.046528,113.981952
0000000415,1,1686749765818782700,0.038144,0.038912,0.584448,21.767936,84.395776,105.516032
0000000039,1,1686749765964669200,0.041216,0.042752,0.524544,20.844288,95.295744,116.539648
0000000132,1,1686749766192040000,0.045056,0.046336,0.5312,16.80256,74.244096,97.010176
0000000322,1,1686749766451506700,0.048896,0.050176,0.57856,21.526784,91.031296,112.153856
0000000227,1,1686749766714109700,0.071424,0.072448,0.622848,26.934272,141.391104,162.795008
0000000509,1,1686749766738287400,0.061696,0.06272,0.489472,28.918272,149.423616,170.559744
0000000604,1,1686749766807801600,0.041472,0.042752,0.493824,35.870976,113.636352,134.844928
0000000416,1,1686749766818968600,0.037888,0.038656,0.56832,37.50144,104.07296,126.689536
0000000040,1,1686749766964822300,0.02816,0.028416,0.576256,15.826944,67.835904,89.213952
0000000133,1,1686749767192316200,0.047872,0.048896,0.639744,16.838144,75.801088,97.082368
0000000323,1,1686749767451792000,0.054016,0.055296,0.647168,21.562112,92.231168,113.51424
0000000228,1,1686749767714403300,0.051456,0.052736,0.65664,20.470272,89.29664,110.425344
0000000510,1,1686749767738527700,0.049152,0.04992,0.562944,20.537344,94.451712,115.565824
0000000605,1,1686749767807866600,0.045568,0.046848,2.2976,28.460288,99.380992,120.46592
0000000417,1,1686749767819206000,0.04736,0.04864,0.494592,23.406592,90.038016,111.266048
0000000041,1,1686749767965127000,0.038656,0.03968,0.491776,17.90976,81.648896,102.816
0000000134,1,1686749768192557600,0.04224,0.04352,0.498688,17.114624,70.327552,91.464192
0000000700,1,1686749768258432800,0.057344,0.0576,0.40576,18.677504,85.665536,107.966464
0000000324,1,1686749768452079400,0.059648,0.060928,0.529152,15.884288,76.24192,97.47072
0000000229,1,1686749768714582800,0.041216,0.041984,0.422912,22.692608,101.278208,122.210304
0000000511,1,1686749768738763500,0.035584,0.036608,0.536576,21.901312,95.926528,116.931584
0000000606,1,1686749768807995600,0.040704,0.041728,0.642048,27.035136,105.369344,126.448896
0000000418,1,1686749768819459300,0.042752,0.04352,0.565504,20.08448,94.38464,115.430144
0000000042,1,1686749768965320700,0.036352,0.037632,0.434688,17.40544,77.02912,98.221568
0000000135,1,1686749769192814300,0.032512,0.032768,0.356608,21.267456,94.101248,115.241216
0000000701,1,1686749769258698200,0.060416,0.061696,0.677632,19.886848,77.668096,98.707712
0000000325,1,1686749769452258000,0.047616,0.04864,0.541952,19.452672,77.954048,99.256832
0000000230,1,1686749769714858200,0.045568,0.046848,0.749824,18.767616,95.689472,117.024768
0000000512,1,1686749769738953700,0.048384,0.049408,0.479232,19.29856,105.56928,126.866432
0000000607,1,1686749769808108800,0.038144,0.039168,1.70496,35.675904,102.989824,124.066304
0000000419,1,1686749769819706400,0.041984,0.043008,0.502016,25.519616,92.75136,113.984512
0000000043,1,1686749769965506000,0.036352,0.03712,0.420352,19.205632,80.197632,101.491712
0000000136,1,1686749770193098500,0.04096,0.048128,0.691456,18.644992,83.806976,105.278976
0000000702,1,1686749770258967300,0.032256,0.033024,0.36992,18.54848,90.593792,111.596288
0000000326,1,1686749770452489700,0.041472,0.043008,0.535296,20.06144,86.399232,107.494912
0000000231,1,1686749770714897200,0.046592,0.047616,0.434176,17.252096,82.019328,103.33824
0000000513,1,1686749770739202600,0.040448,0.041728,0.580096,17.799936,82.58688,103.564032
0000000608,1,1686749770808386600,0.079104,0.080384,2.394368,19.265024,79.895808,101.151232
0000000420,1,1686749770819902700,0.036096,0.03712,0.425472,18.401536,82.39872,103.658496
0000000044,1,1686749770965789000,0.036864,0.037632,0.63872,21.151488,77.846016,99.387648
0000000137,1,1686749771193339400,0.055296,0.056576,0.483584,21.399296,74.455296,95.50848
0000000703,1,1686749771259191000,0.044288,0.045312,0.490496,19.744512,93.560064,114.457344
0000000327,1,1686749771452640500,0.035328,0.035584,0.318208,16.016896,71.398912,92.745984
0000000232,1,1686749771715156500,0.045568,0.046336,0.48896,22.760704,120.517888,141.614336
0000000514,1,1686749771739356400,0.0256,0.026112,0.595712,27.974912,142.8736,164.931328
0000000609,1,1686749771808652800,0.053248,0.054016,0.594176,52.258816,134.96704,156.291328
0000000421,1,1686749771820099300,0.059648,0.061184,0.483584,44.651264,123.244032,144.332544
0000000045,1,1686749771965913300,0.057088,0.057856,0.365056,19.518208,81.82272,102.839552
0000000138,1,1686749772193598200,0.04608,0.047104,0.65664,23.853056,107.090688,128.383744
0000000704,1,1686749772259479600,0.04224,0.043264,0.672,32.04992,91.367424,112.320256
0000000328,1,1686749772452898600,0.047616,0.04864,0.585984,18.557184,97.916672,118.935808
0000000233,1,1686749772715438000,0.082176,0.083456,0.567552,18.541568,89.909248,111.123712
0000000515,1,1686749772739657200,0.045824,0.046848,0.557312,19.694848,81.88416,102.974976
0000000610,1,1686749772808770600,0.045056,0.046336,0.53248,15.75808,86.16704,107.361792
0000000422,1,1686749772820336000,0.03712,0.038144,0.429824,18.072832,78.60864,99.731456
0000000046,1,1686749772966038000,0.026624,0.027136,0.323328,15.659008,94.265856,115.649024
0000000139,1,1686749773193800700,0.043264,0.044288,0.61184,19.124992,77.076736,98.134016
0000000705,1,1686749773259714300,0.033792,0.03456,0.54272,17.104384,68.726528,91.423488
0000000329,1,1686749773453044500,0.0448,0.045824,0.502784,19.191296,69.954816,91.142912
0000000800,1,1686749773554780000,0.102656,0.10368,0.956928,16.469504,70.823936,92.19328
0000000234,1,1686749773715559400,0.027904,0.028672,0.402688,14.246912,71.86176,93.211904
0000000516,1,1686749773739857200,0.04224,0.043776,0.501248,15.029248,70.662656,91.885824
0000000611,1,1686749773809002000,0.040192,0.041472,0.551424,16.351488,80.039424,101.06368
0000000423,1,1686749773820572200,0.0256,0.026624,0.663552,19.253248,80.915456,102.042368
0000000047,1,1686749773966313500,0.033024,0.034048,0.675584,15.958272,73.265664,94.297856
0000000140,1,1686749774193944800,0.044544,0.045568,0.609536,16.27904,66.875904,88.00768
0000000706,1,1686749774259989000,0.046592,0.048128,0.759552,15.500544,70.85696,92.19072
0000000330,1,1686749774453312300,0.040192,0.040704,0.414208,16.557824,73.101568,94.340864
0000000801,1,1686749774554993700,0.044032,0.045312,0.552192,15.693312,68.3584,89.622784
0000000235,1,1686749774715827000,0.0576,0.058624,0.456704,15.4752,75.85536,96.961024
0000000517,1,1686749774740046000,0.038656,0.039424,0.4288,14.832384,74.751744,95.843328
0000000612,1,1686749774809099500,0.035072,0.036096,0.60544,16.073984,87.757824,108.99328
0000000424,1,1686749774820734200,0.030976,0.031744,0.412416,18.64704,84.641792,105.831424
0000000048,1,1686749774966569700,0.043776,0.044544,0.421888,20.319232,78.511872,99.698432
0000000141,1,1686749775194238500,0.121088,0.122368,0.649216,17.218048,78.008064,99.081216
0000000707,1,1686749775260293000,0.0384,0.039168,0.545536,17.523712,73.806592,95.088128
0000000331,1,1686749775453553700,0.058624,0.059648,0.479488,18.68032,79.609344,100.708096
0000000802,1,1686749775555050500,0.048896,0.04992,0.555008,19.878656,82.844416,103.983616
0000000236,1,1686749775716133600,0.047872,0.048896,0.544768,16.653568,81.704448,102.89408
0000000518,1,1686749775740260900,0.02944,0.030208,0.579072,15.80288,72.311296,95.4624
0000000613,1,1686749775809284600,0.041984,0.042752,0.5376,15.350784,82.373632,103.537152
0000000425,1,1686749775820980000,0.039168,0.040192,0.414208,18.1952,80.083968,101.252864
0000000049,1,1686749775966763000,0.040448,0.041472,0.515072,17.858304,75.182848,96.350976
0000000142,1,1686749776194467800,0.036608,0.037376,0.607488,17.620224,68.038912,89.351168
0000000708,1,1686749776260489200,0.041472,0.043008,0.406272,15.089664,69.248256,90.292736
0000000332,1,1686749776453797600,0.04352,0.044288,0.49408,17.30304,77.113856,98.41152
0000000803,1,1686749776555333600,0.045824,0.046848,0.601088,16.928512,71.980288,92.94592
0000000237,1,1686749776716356000,0.065024,0.066048,0.576,20.879104,84.316672,105.407488
0000000519,1,1686749776740585500,0.050432,0.051456,0.573696,16.64128,71.04512,92.123904
0000000614,1,1686749776809582800,0.046848,0.047872,0.639488,14.84416,81.44512,103.38944
0000000426,1,1686749776821265000,0.040448,0.041216,0.419072,17.836544,78.966016,100.200704
0000000050,1,1686749776966998300,0.053504,0.054528,0.447744,18.119424,81.447936,102.597632
0000000143,1,1686749777194617600,0.045056,0.04608,0.464128,15.874304,68.903168,90.061568
0000000709,1,1686749777260733200,0.058112,0.059392,0.555264,16.590336,84.706304,106.009856
0000000333,1,1686749777454058500,0.058624,0.059648,0.59648,17.32992,72.202496,93.927168
0000000804,1,1686749777555487700,0.043264,0.044544,0.600064,21.82144,99.227136,120.305408
0000000238,1,1686749777716533800,0.025088,0.0256,0.434432,19.152128,94.850048,115.993856
0000000520,1,1686749777740841000,0.038656,0.03968,0.59776,20.895232,101.384704,122.665728
0000000615,1,1686749777809717500,0.0384,0.039424,0.571648,21.114624,94.797824,115.94624
0000000427,1,1686749777821522000,0.036864,0.037888,0.376064,25.91232,99.812608,121.151488
0000000051,1,1686749777967232500,0.041472,0.043264,0.549376,19.888128,114.435584,135.348224
0000000144,1,1686749778194859300,0.04608,0.047104,0.517376,22.5088,87.993856,108.777728
0000000710,1,1686749778261123300,0.038912,0.040192,1.514752,22.422784,80.2816,101.433088
0000000334,1,1686749778454391800,0.04608,0.046848,0.466688,16.265984,70.31168,91.423232
0000000805,1,1686749778555738000,0.089088,0.090368,0.607744,16.530688,76.022016,98.793728
0000000900,1,1686749778681456000,0.04736,0.04864,0.78208,18.566144,96.480512,117.952768
0000000239,1,1686749778716769300,0.048896,0.049664,0.363008,18.744832,95.245312,116.3136
0000000521,1,1686749778740886300,0.034304,0.035584,0.413952,20.549632,86.109952,107.204864
0000000616,1,1686749778810063400,0.042496,0.043264,3.200512,21.542656,97.767168,118.844416
0000000428,1,1686749778821651500,0.045056,0.045824,0.384256,17.434112,89.4144,110.483968
0000000052,1,1686749778967447300,0.037632,0.038656,0.590592,19.539968,78.04288,99.093504
0000000145,1,1686749779195118800,0.040448,0.041216,0.601856,24.004608,83.606784,104.711168
0000000711,1,1686749779261405000,0.038656,0.047104,2.479104,21.361152,81.717504,102.648576
0000000335,1,1686749779454577400,0.04608,0.046848,0.534784,22.5408,86.316288,107.366912
0000000806,1,1686749779556013800,0.063232,0.064,0.553984,16.913152,81.303808,102.472448
0000000901,1,1686749779681697800,0.066048,0.067072,0.660224,17.791232,102.170368,124.003328
0000000240,1,1686749779717015800,0.042496,0.043264,0.45184,25.28768,109.081088,130.301184
0000000522,1,1686749779741073000,0.024064,0.024576,0.390912,24.178432,100.37504,121.45408
0000000617,1,1686749779810364200,0.039168,0.040192,0.421888,27.76576,104.958976,126.111488
0000000429,1,1686749779821800200,0.055296,0.055808,0.630272,20.402432,96.662272,117.714944
0000000053,1,1686749779967702800,0.041216,0.04224,0.475648,19.12064,84.042752,105.13664
0000000146,1,1686749780195292000,0.033536,0.034048,0.526336,19.325952,84.141312,105.15456
0000000712,1,1686749780261586400,0.033024,0.034304,0.366592,19.09248,79.142656,100.3392
0000000336,1,1686749780454865000,0.05248,0.053504,0.455168,20.5952,78.672128,100.880128
0000000807,1,1686749780556249900,0.037632,0.03968,0.738048,17.979904,73.136384,96.104448
0000000902,1,1686749780681841200,0.037632,0.038912,0.731648,23.258368,98.141696,119.138816
0000000241,1,1686749780717232600,0.044032,0.0448,0.467456,19.703808,104.383488,125.628416
0000000523,1,1686749780741360000,0.033024,0.033536,0.310272,20.773888,100.325376,122.92992
0000000618,1,1686749780810576600,0.040192,0.04992,0.43648,17.01888,85.964032,107.192576
0000000430,1,1686749780821940200,0.033792,0.03456,0.480256,22.072064,83.391488,104.346624
0000000054,1,1686749780967880700,0.041984,0.042752,0.562432,17.846272,77.519616,98.728192
0000000147,1,1686749781195519500,0.037888,0.038912,0.554496,18.14784,76.699136,97.804032
0000000713,1,1686749781261814500,0.020992,0.021504,0.431104,19.401216,85.37216,106.288896
0000000337,1,1686749781455155200,0.04352,0.044288,0.477952,19.63392,75.24608,96.540416
0000000808,1,1686749781556308200,0.0704,0.071168,0.500992,17.698048,76.927488,97.995776
0000000903,1,1686749781682074600,0.034304,0.035584,0.569856,18.47552,96.92416,118.126336
0000000242,1,1686749781717526300,0.04992,0.050688,0.436224,18.65472,112.750592,134.107648
0000000524,1,1686749781741625300,0.034816,0.035328,0.453888,27.359488,121.089536,142.356736
0000000619,1,1686749781810827000,0.036096,0.037376,0.476672,32.059904,114.540544,135.796992
0000000431,1,1686749781822358500,0.066304,0.067584,0.447744,28.553472,105.397504,126.618624
0000000055,1,1686749781968038700,0.037888,0.038912,0.432128,21.887232,78.03648,100.831744
0000000148,1,1686749782195783000,0.037632,0.038656,0.591872,20.744192,99.164672,120.39296
0000000714,1,1686749782262117600,0.083456,0.084736,0.66048,25.862912,84.672,105.7472
