gnbid,type,timestamp,MM5G_NULL,MM5G_DEREGISTERED,SM5G_PDU_SESSION_INACTIVE,MM5G_REGISTERED_INITIATED,MM5G_REGISTERED,SM5G_PDU_SESSION_ACTIVE_PENDING
0000000248,1,1686425934595508200,0.028672,0.60032,0.029696,174.960384,234.601728,255.808512
0000000184,1,1686425934675076600,0.029696,0.484352,0.03072,206.152192,304.843008,328.72064
0000000310,1,1686425934683063800,0.032512,0.43392,0.044544,212.689664,316.324864,337.3504
0000000249,1,1686425934795908000,0.035072,0.445696,0.036352,47.022336,146.468608,167.70176
0000000185,1,1686425934875340800,0.036608,0.369664,0.037632,38.258688,127.077632,151.052544
0000000311,1,1686425934883230000,0.015616,0.50176,0.015872,37.78048,151.841792,172.833536
0000000250,1,1686425934996091100,0.022528,0.458752,0.023808,169.9648,234.764544,255.982848
0000000186,1,1686425935075603000,0.032512,0.384,0.050176,150.025472,230.485504,251.849216
0000000312,1,1686425935083416800,0.04608,0.58112,0.046848,174.881536,277.609984,298.124544
0000000251,1,1686425935196299800,0.049152,0.532736,0.04992,59.647744,147.861504,168.756224
0000000187,1,1686425935275626200,0.049664,0.43392,0.050688,50.744576,114.831104,135.892224
0000000313,1,1686425935283562000,0.042496,0.619008,0.043776,22.258688,130.13888,150.830336
0000000252,1,1686425935396595000,0.054016,0.666624,0.055552,170.978304,271.427328,292.591872
0000000188,1,1686425935475925500,0.034304,0.505344,0.04352,138.1056,257.825024,279.022336
0000000314,1,1686425935483720200,0.0384,0.484864,0.039168,166.960384,5953.154048,5974.32192
0000000253,1,1686425935596755000,0.025344,0.499456,0.025856,102.019072,6043.418368,6065.091584
0000000189,1,1686425935676150800,0.042496,0.440832,0.043264,86.525184,8149.24288,8170.459392
0000000315,1,1686425935683843000,0.020224,0.414208,0.020992,33.89696,8102.66496,8123.710976
0000000254,1,1686425935796861700,0.054784,0.305664,0.055808,5676.554752,8767.145728,8787.893248
